Date,Event,Type
15/09/2016,Feast of the Sacrifice Day 3,Holidays in Egypt
16/09/2016,Feast of the Sacrifice Day 4,Holidays in Egypt
03/10/2016,Muharram,Holidays in Egypt
06/10/2016,Armed Forces Day,Holidays in Egypt
12/12/2016,Prophet Mohamed's birthday,Holidays in Egypt
07/01/2017,Coptic Christmas Day,Holidays in Egypt
25/01/2017,Revolution Day January 25,Holidays in Egypt
14/04/2017,Coptic Good Friday,Holidays in Egypt
15/04/2017,Coptic Holy Saturday,Holidays in Egypt
16/04/2017,Coptic Easter Sunday,Holidays in Egypt
17/04/2017,Spring Festival,Holidays in Egypt
25/04/2017,Sinai Liberation Day,Holidays in Egypt
01/05/2017,Labor Day,Holidays in Egypt
26/06/2017,Eid el Fitr,Holidays in Egypt
27/06/2017,End of Ramadan Day 2,Holidays in Egypt
28/06/2017,End of Ramadan Day 3,Holidays in Egypt
30/06/2017,June 30 Revolution,Holidays in Egypt
23/07/2017,Revolution Day July 23,Holidays in Egypt
15/08/2017,Flooding of the Nile,Holidays in Egypt
02/09/2017,Feast of the Sacrifice,Holidays in Egypt
03/09/2017,Feast of the Sacrifice Day 2,Holidays in Egypt
04/09/2017,Feast of the Sacrifice Day 3,Holidays in Egypt
05/09/2017,Feast of the Sacrifice Day 4,Holidays in Egypt
11/09/2017,Coptic New Year,Holidays in Egypt
22/09/2017,Muharram,Holidays in Egypt
06/10/2017,Armed Forces Day,Holidays in Egypt
01/12/2017,Prophet Mohamed's birthday,Holidays in Egypt
07/01/2018,Coptic Christmas Day,Holidays in Egypt
25/01/2018,Revolution Day January 25,Holidays in Egypt
06/04/2018,Coptic Good Friday,Holidays in Egypt
07/04/2018,Coptic Holy Saturday,Holidays in Egypt
08/04/2018,Coptic Easter Sunday,Holidays in Egypt
09/04/2018,Spring Festival,Holidays in Egypt
25/04/2018,Sinai Liberation Day,Holidays in Egypt
01/05/2018,Labor Day,Holidays in Egypt
15/06/2018,Eid el Fitr,Holidays in Egypt
16/06/2018,End of Ramadan Day 2,Holidays in Egypt
17/06/2018,End of Ramadan Day 3,Holidays in Egypt
30/06/2018,June 30 Revolution,Holidays in Egypt
23/07/2018,Revolution Day July 23,Holidays in Egypt
15/08/2018,Flooding of the Nile,Holidays in Egypt
22/08/2018,Feast of the Sacrifice,Holidays in Egypt
23/08/2018,Feast of the Sacrifice Day 2,Holidays in Egypt
24/08/2018,Feast of the Sacrifice Day 3,Holidays in Egypt
25/08/2018,Feast of the Sacrifice Day 4,Holidays in Egypt
11/09/2018,Coptic New Year,Holidays in Egypt
12/09/2018,Muharram,Holidays in Egypt
06/10/2018,Armed Forces Day,Holidays in Egypt
21/11/2018,Prophet Mohamed's birthday,Holidays in Egypt
01/01/2016,New Year,Holidays in Eritrea
07/01/2016,Orthodox Christmas Day,Holidays in Eritrea
08/03/2016,Women's Day,Holidays in Eritrea
25/03/2016,Good Friday,Holidays in Eritrea
27/03/2016,Easter Day,Holidays in Eritrea
01/05/2016,International Workers' Day,Holidays in Eritrea
24/05/2016,Independence Day,Holidays in Eritrea
20/06/2016,Martyrs' Day,Holidays in Eritrea
05/07/2016,Eid al-Fitr,Holidays in Eritrea
01/09/2016,Commencement Day of Eritrean Armed Struggle,Holidays in Eritrea
11/09/2016,St. John the Baptist Day,Holidays in Eritrea
11/09/2016,Geez New Year,Holidays in Eritrea
13/09/2016,Eid al-Adha,Holidays in Eritrea
27/09/2016,Meskel,Holidays in Eritrea
12/12/2016,The Prophet's Birthday,Holidays in Eritrea
25/12/2016,Christmas Day,Holidays in Eritrea
01/01/2017,New Year,Holidays in Eritrea
07/01/2017,Orthodox Christmas Day,Holidays in Eritrea
08/03/2017,Women's Day,Holidays in Eritrea
14/04/2017,Good Friday,Holidays in Eritrea
16/04/2017,Easter Day,Holidays in Eritrea
01/05/2017,International Workers' Day,Holidays in Eritrea
24/05/2017,Independence Day,Holidays in Eritrea
20/06/2017,Martyrs' Day,Holidays in Eritrea
26/06/2017,Eid al-Fitr,Holidays in Eritrea
01/09/2017,Commencement Day of Eritrean Armed Struggle,Holidays in Eritrea
02/09/2017,Eid al-Adha,Holidays in Eritrea
11/09/2017,St. John the Baptist Day,Holidays in Eritrea
11/09/2017,Geez New Year,Holidays in Eritrea
27/09/2017,Meskel,Holidays in Eritrea
01/12/2017,The Prophet's Birthday,Holidays in Eritrea
25/12/2017,Christmas Day,Holidays in Eritrea
01/01/2018,New Year,Holidays in Eritrea
07/01/2018,Orthodox Christmas Day,Holidays in Eritrea
08/03/2018,Women's Day,Holidays in Eritrea
30/03/2018,Good Friday,Holidays in Eritrea
01/04/2018,Easter Day,Holidays in Eritrea
01/05/2018,International Workers' Day,Holidays in Eritrea
24/05/2018,Independence Day,Holidays in Eritrea
15/06/2018,Eid al-Fitr,Holidays in Eritrea
20/06/2018,Martyrs' Day,Holidays in Eritrea
22/08/2018,Eid al-Adha,Holidays in Eritrea
01/09/2018,Commencement Day of Eritrean Armed Struggle,Holidays in Eritrea
11/09/2018,St. John the Baptist Day,Holidays in Eritrea
11/09/2018,Geez New Year,Holidays in Eritrea
27/09/2018,Meskel,Holidays in Eritrea
21/11/2018,The Prophet's Birthday,Holidays in Eritrea
25/12/2018,Christmas Day,Holidays in Eritrea
07/01/2016,Ethiopian Christmas Day,Holidays in Ethiopia
19/01/2016,Epiphany,Holidays in Ethiopia
02/03/2016,Adwa Victory Day,Holidays in Ethiopia
29/04/2016,Ethiopian Good Friday,Holidays in Ethiopia
01/05/2016,International Labor Day,Holidays in Ethiopia
01/05/2016,Ethiopian Easter Sunday,Holidays in Ethiopia
05/05/2016,Freedom Day,Holidays in Ethiopia
28/05/2016,Derg Downfall Day,Holidays in Ethiopia
07/07/2016,Eid-al-Fitr,Holidays in Ethiopia
11/09/2016,Ethiopian New Year,Holidays in Ethiopia
13/09/2016,Eid al-Adha,Holidays in Ethiopia
27/09/2016,Meskel,Holidays in Ethiopia
12/12/2016,The Prophet's Birthday,Holidays in Ethiopia
07/01/2017,Ethiopian Christmas Day,Holidays in Ethiopia
19/01/2017,Epiphany,Holidays in Ethiopia
02/03/2017,Adwa Victory Day,Holidays in Ethiopia
14/04/2017,Ethiopian Good Friday,Holidays in Ethiopia
16/04/2017,Ethiopian Easter Sunday,Holidays in Ethiopia
01/05/2017,International Labor Day,Holidays in Ethiopia
05/05/2017,Freedom Day,Holidays in Ethiopia
28/05/2017,Derg Downfall Day,Holidays in Ethiopia
26/06/2017,Eid-al-Fitr,Holidays in Ethiopia
02/09/2017,Eid al-Adha,Holidays in Ethiopia
11/09/2017,Ethiopian New Year,Holidays in Ethiopia
27/09/2017,Meskel,Holidays in Ethiopia
01/12/2017,The Prophet's Birthday,Holidays in Ethiopia
07/01/2018,Ethiopian Christmas Day,Holidays in Ethiopia
19/01/2018,Epiphany,Holidays in Ethiopia
02/03/2018,Adwa Victory Day,Holidays in Ethiopia
06/04/2018,Ethiopian Good Friday,Holidays in Ethiopia
08/04/2018,Ethiopian Easter Sunday,Holidays in Ethiopia
01/05/2018,International Labor Day,Holidays in Ethiopia
05/05/2018,Freedom Day,Holidays in Ethiopia
28/05/2018,Derg Downfall Day,Holidays in Ethiopia
15/06/2018,Eid-al-Fitr,Holidays in Ethiopia
22/08/2018,Eid al-Adha,Holidays in Ethiopia
11/09/2018,Ethiopian New Year,Holidays in Ethiopia
27/09/2018,Meskel,Holidays in Ethiopia
21/11/2018,The Prophet's Birthday,Holidays in Ethiopia
01/01/2016,New Year's Day,Holidays in Finland
06/01/2016,Epiphany,Holidays in Finland
25/03/2016,Good Friday,Holidays in Finland
27/03/2016,Easter Day,Holidays in Finland
28/03/2016,Easter Monday,Holidays in Finland
01/05/2016,May Day,Holidays in Finland
05/05/2016,Ascension Day,Holidays in Finland
08/05/2016,Mother's Day,Holidays in Finland
15/05/2016,Whit Sunday,Holidays in Finland
24/06/2016,Midsummer Eve,Holidays in Finland
25/06/2016,Midsummer,Holidays in Finland
05/11/2016,All Saints' Day,Holidays in Finland
13/11/2016,Father's Day,Holidays in Finland
06/12/2016,Independence Day,Holidays in Finland
24/12/2016,Christmas Eve,Holidays in Finland
25/12/2016,Christmas Day,Holidays in Finland
26/12/2016,St. Stephen's Day,Holidays in Finland
01/01/2017,New Year's Day,Holidays in Finland
06/01/2017,Epiphany,Holidays in Finland
14/04/2017,Good Friday,Holidays in Finland
16/04/2017,Easter Day,Holidays in Finland
17/04/2017,Easter Monday,Holidays in Finland
01/05/2017,May Day,Holidays in Finland
14/05/2017,Mother's Day,Holidays in Finland
25/05/2017,Ascension Day,Holidays in Finland
04/06/2017,Whit Sunday,Holidays in Finland
23/06/2017,Midsummer Eve,Holidays in Finland
24/06/2017,Midsummer,Holidays in Finland
04/11/2017,All Saints' Day,Holidays in Finland
12/11/2017,Father's Day,Holidays in Finland
06/12/2017,Independence Day,Holidays in Finland
24/12/2017,Christmas Eve,Holidays in Finland
25/12/2017,Christmas Day,Holidays in Finland
26/12/2017,St. Stephen's Day,Holidays in Finland
01/01/2018,New Year's Day,Holidays in Finland
06/01/2018,Epiphany,Holidays in Finland
30/03/2018,Good Friday,Holidays in Finland
01/04/2018,Easter Day,Holidays in Finland
02/04/2018,Easter Monday,Holidays in Finland
01/05/2018,May Day,Holidays in Finland
10/05/2018,Ascension Day,Holidays in Finland
13/05/2018,Mother's Day,Holidays in Finland
20/05/2018,Whit Sunday,Holidays in Finland
22/06/2018,Midsummer Eve,Holidays in Finland
23/06/2018,Midsummer,Holidays in Finland
03/11/2018,All Saints' Day,Holidays in Finland
11/11/2018,Father's Day,Holidays in Finland
06/12/2018,Independence Day,Holidays in Finland
24/12/2018,Christmas Eve,Holidays in Finland
25/12/2018,Christmas Day,Holidays in Finland
26/12/2018,St. Stephen's Day,Holidays in Finland
01/01/2016,New Year,Holidays in Fiji
17/01/2016,Daylight Saving Time ends,Holidays in Fiji
25/03/2016,Good Friday,Holidays in Fiji
26/03/2016,Holy Saturday,Holidays in Fiji
28/03/2016,Easter Monday,Holidays in Fiji
26/06/2016,National Sports Day,Holidays in Fiji
22/08/2016,First Gold Medal Special Holiday,Holidays in Fiji
07/09/2016,Constitution Day,Holidays in Fiji
10/10/2016,Fiji Day,Holidays in Fiji
27/10/2016,Diwali,Holidays in Fiji
06/11/2016,Daylight Saving Time starts,Holidays in Fiji
12/12/2016,The Prophet's Birthday,Holidays in Fiji
25/12/2016,Christmas Day,Holidays in Fiji
26/12/2016,Boxing Day,Holidays in Fiji
01/01/2017,New Year,Holidays in Fiji
15/01/2017,Daylight Saving Time ends,Holidays in Fiji
14/04/2017,Good Friday,Holidays in Fiji
15/04/2017,Holy Saturday,Holidays in Fiji
17/04/2017,Easter Monday,Holidays in Fiji
26/06/2017,National Sports Day,Holidays in Fiji
07/09/2017,Constitution Day,Holidays in Fiji
10/10/2017,Fiji Day,Holidays in Fiji
05/11/2017,Daylight Saving Time starts,Holidays in Fiji
01/12/2017,The Prophet's Birthday,Holidays in Fiji
25/12/2017,Christmas Day,Holidays in Fiji
26/12/2017,Boxing Day,Holidays in Fiji
01/01/2018,New Year,Holidays in Fiji
21/01/2018,Daylight Saving Time ends,Holidays in Fiji
30/03/2018,Good Friday,Holidays in Fiji
31/03/2018,Holy Saturday,Holidays in Fiji
02/04/2018,Easter Monday,Holidays in Fiji
26/06/2018,National Sports Day,Holidays in Fiji
07/09/2018,Constitution Day,Holidays in Fiji
10/10/2018,Fiji Day,Holidays in Fiji
04/11/2018,Daylight Saving Time starts,Holidays in Fiji
21/11/2018,The Prophet's Birthday,Holidays in Fiji
25/12/2018,Christmas Day,Holidays in Fiji
26/12/2018,Boxing Day,Holidays in Fiji
01/01/2016,New Year,Holidays in Faroe Islands
24/03/2016,Maundy Thursday,Holidays in Faroe Islands
25/03/2016,Good Friday,Holidays in Faroe Islands
27/03/2016,Daylight Saving Time starts,Holidays in Faroe Islands
27/03/2016,Easter Day,Holidays in Faroe Islands
28/03/2016,Easter Monday,Holidays in Faroe Islands
25/04/2016,National Flag Day,Holidays in Faroe Islands
01/05/2016,Prayer Day,Holidays in Faroe Islands
05/05/2016,Ascension Day,Holidays in Faroe Islands
15/05/2016,Whit Sunday,Holidays in Faroe Islands
16/05/2016,Whit Monday,Holidays in Faroe Islands
05/06/2016,Constitution Day,Holidays in Faroe Islands
28/07/2016,St. Olav's Eve,Holidays in Faroe Islands
29/07/2016,St. Olav's Day (National Day),Holidays in Faroe Islands
30/10/2016,Daylight Saving Time ends,Holidays in Faroe Islands
24/12/2016,Christmas Eve,Holidays in Faroe Islands
25/12/2016,Christmas Day,Holidays in Faroe Islands
26/12/2016,Boxing Day,Holidays in Faroe Islands
31/12/2016,New Year's Eve,Holidays in Faroe Islands
01/01/2017,New Year,Holidays in Faroe Islands
26/03/2017,Daylight Saving Time starts,Holidays in Faroe Islands
13/04/2017,Maundy Thursday,Holidays in Faroe Islands
14/04/2017,Good Friday,Holidays in Faroe Islands
16/04/2017,Easter Day,Holidays in Faroe Islands
17/04/2017,Easter Monday,Holidays in Faroe Islands
25/04/2017,National Flag Day,Holidays in Faroe Islands
01/05/2017,Prayer Day,Holidays in Faroe Islands
25/05/2017,Ascension Day,Holidays in Faroe Islands
04/06/2017,Whit Sunday,Holidays in Faroe Islands
05/06/2017,Whit Monday,Holidays in Faroe Islands
05/06/2017,Constitution Day,Holidays in Faroe Islands
28/07/2017,St. Olav's Eve,Holidays in Faroe Islands
29/07/2017,St. Olav's Day (National Day),Holidays in Faroe Islands
29/10/2017,Daylight Saving Time ends,Holidays in Faroe Islands
24/12/2017,Christmas Eve,Holidays in Faroe Islands
25/12/2017,Christmas Day,Holidays in Faroe Islands
26/12/2017,Boxing Day,Holidays in Faroe Islands
31/12/2017,New Year's Eve,Holidays in Faroe Islands
01/01/2018,New Year,Holidays in Faroe Islands
25/03/2018,Daylight Saving Time starts,Holidays in Faroe Islands
29/03/2018,Maundy Thursday,Holidays in Faroe Islands
30/03/2018,Good Friday,Holidays in Faroe Islands
01/04/2018,Easter Day,Holidays in Faroe Islands
02/04/2018,Easter Monday,Holidays in Faroe Islands
25/04/2018,National Flag Day,Holidays in Faroe Islands
01/05/2018,Prayer Day,Holidays in Faroe Islands
10/05/2018,Ascension Day,Holidays in Faroe Islands
20/05/2018,Whit Sunday,Holidays in Faroe Islands
21/05/2018,Whit Monday,Holidays in Faroe Islands
05/06/2018,Constitution Day,Holidays in Faroe Islands
28/07/2018,St. Olav's Eve,Holidays in Faroe Islands
29/07/2018,St. Olav's Day (National Day),Holidays in Faroe Islands
28/10/2018,Daylight Saving Time ends,Holidays in Faroe Islands
24/12/2018,Christmas Eve,Holidays in Faroe Islands
25/12/2018,Christmas Day,Holidays in Faroe Islands
26/12/2018,Boxing Day,Holidays in Faroe Islands
01/01/2016,New Year's Day,Holidays in France
27/03/2016,Daylight Saving Time starts,Holidays in France
27/03/2016,Easter Day,Holidays in France
28/03/2016,Easter Monday,Holidays in France
01/05/2016,Labor Day / May Day,Holidays in France
05/05/2016,Ascension Day,Holidays in France
08/05/2016,WWII Victory Day,Holidays in France
15/05/2016,Whit Sunday,Holidays in France
16/05/2016,Whit Monday,Holidays in France
29/05/2016,Mother's Day,Holidays in France
19/06/2016,Father's Day,Holidays in France
14/07/2016,Bastille Day,Holidays in France
15/08/2016,Assumption of Mary,Holidays in France
30/10/2016,Daylight Saving Time ends,Holidays in France
01/11/2016,All Saints' Day,Holidays in France
11/11/2016,Armistice Day,Holidays in France
24/12/2016,Christmas Eve,Holidays in France
25/12/2016,Christmas Day,Holidays in France
31/12/2016,New Year's Eve,Holidays in France
01/01/2017,New Year's Day,Holidays in France
26/03/2017,Daylight Saving Time starts,Holidays in France
16/04/2017,Easter Day,Holidays in France
17/04/2017,Easter Monday,Holidays in France
01/05/2017,Labor Day / May Day,Holidays in France
08/05/2017,WWII Victory Day,Holidays in France
25/05/2017,Ascension Day,Holidays in France
28/05/2017,Mother's Day,Holidays in France
04/06/2017,Whit Sunday,Holidays in France
05/06/2017,Whit Monday,Holidays in France
18/06/2017,Father's Day,Holidays in France
14/07/2017,Bastille Day,Holidays in France
15/08/2017,Assumption of Mary,Holidays in France
29/10/2017,Daylight Saving Time ends,Holidays in France
01/11/2017,All Saints' Day,Holidays in France
11/11/2017,Armistice Day,Holidays in France
24/12/2017,Christmas Eve,Holidays in France
25/12/2017,Christmas Day,Holidays in France
31/12/2017,New Year's Eve,Holidays in France
01/01/2018,New Year's Day,Holidays in France
25/03/2018,Daylight Saving Time starts,Holidays in France
01/04/2018,Easter Day,Holidays in France
02/04/2018,Easter Monday,Holidays in France
01/05/2018,Labor Day / May Day,Holidays in France
08/05/2018,WWII Victory Day,Holidays in France
10/05/2018,Ascension Day,Holidays in France
20/05/2018,Whit Sunday,Holidays in France
21/05/2018,Whit Monday,Holidays in France
27/05/2018,Mother's Day,Holidays in France
17/06/2018,Father's Day,Holidays in France
14/07/2018,Bastille Day,Holidays in France
15/08/2018,Assumption of Mary,Holidays in France
28/10/2018,Daylight Saving Time ends,Holidays in France
01/11/2018,All Saints' Day,Holidays in France
11/11/2018,Armistice Day,Holidays in France
24/12/2018,Christmas Eve,Holidays in France
25/12/2018,Christmas Day,Holidays in France
01/01/2016,New Year,Holidays in Gabon
27/03/2016,Easter Day,Holidays in Gabon
28/03/2016,Easter Monday,Holidays in Gabon
17/04/2016,Women's Rights Day,Holidays in Gabon
01/05/2016,Labour Day,Holidays in Gabon
08/05/2016,Mother's Day,Holidays in Gabon
16/05/2016,Whit Monday,Holidays in Gabon
19/06/2016,Father's Day,Holidays in Gabon
05/07/2016,Eid al-Fitr,Holidays in Gabon
15/08/2016,Assumption of Mary,Holidays in Gabon
16/08/2016,Independence Day,Holidays in Gabon
17/08/2016,Independence Day,Holidays in Gabon
13/09/2016,Eid al-Adha,Holidays in Gabon
01/11/2016,All Saints' Eve,Holidays in Gabon
25/12/2016,Christmas Day,Holidays in Gabon
01/01/2017,New Year,Holidays in Gabon
16/04/2017,Easter Day,Holidays in Gabon
17/04/2017,Easter Monday,Holidays in Gabon
17/04/2017,Women's Rights Day,Holidays in Gabon
01/05/2017,Labour Day,Holidays in Gabon
14/05/2017,Mother's Day,Holidays in Gabon
05/06/2017,Whit Monday,Holidays in Gabon
18/06/2017,Father's Day,Holidays in Gabon
26/06/2017,Eid al-Fitr,Holidays in Gabon
15/08/2017,Assumption of Mary,Holidays in Gabon
16/08/2017,Independence Day,Holidays in Gabon
17/08/2017,Independence Day,Holidays in Gabon
02/09/2017,Eid al-Adha,Holidays in Gabon
01/11/2017,All Saints' Eve,Holidays in Gabon
25/12/2017,Christmas Day,Holidays in Gabon
01/01/2018,New Year,Holidays in Gabon
01/04/2018,Easter Day,Holidays in Gabon
02/04/2018,Easter Monday,Holidays in Gabon
17/04/2018,Women's Rights Day,Holidays in Gabon
01/05/2018,Labour Day,Holidays in Gabon
13/05/2018,Mother's Day,Holidays in Gabon
21/05/2018,Whit Monday,Holidays in Gabon
15/06/2018,Eid al-Fitr,Holidays in Gabon
17/06/2018,Father's Day,Holidays in Gabon
